species_id,eng_name_key,kor_name_key,name,form_key,type_a,type_b,generation,Gender_Unknown,Gender_Male,Gender_Female,Egg_Steps,Egg_Group1,Egg_Group2,Get_Rate,Experience_Type,Category,HP,A,B,C,D,S,Total
1,Bulbasaur,이상해씨,Bulbasaur,Default,Grass,Poison,1,FALSE,87.5,12.5,20,Monster,Grass,45,MediumSlow,Ordinary,45,49,49,65,65,45,318
2,Ivysaur,이상해풀,Ivysaur,Default,Grass,Poison,1,FALSE,87.5,12.5,20,Monster,Grass,45,MediumSlow,Ordinary,60,62,63,80,80,60,405
3,Venusaur,이상해꽃,Venusaur,Default,Grass,Poison,1,FALSE,87.5,12.5,20,Monster,Grass,45,MediumSlow,Ordinary,80,82,83,100,100,80,525
3,Venusaur,이상해꽃,Mega Venusaur,Mega,Grass,Poison,1,FALSE,87.5,12.5,20,Monster,Grass,45,MediumSlow,Ordinary,80,100,123,122,120,80,625
4,Charmander,파이리,Charmander,Default,Fire,None,1,FALSE,87.5,12.5,20,Monster,Dragon,45,MediumSlow,Ordinary,39,52,43,60,50,65,309
5,Charmeleon,리자드,Charmeleon,Default,Fire,None,1,FALSE,87.5,12.5,20,Monster,Dragon,45,MediumSlow,Ordinary,58,64,58,80,65,80,405
6,Charizard,리자몽,Charizard,Default,Fire,Flying,1,FALSE,87.5,12.5,20,Monster,Dragon,45,MediumSlow,Ordinary,78,84,78,109,85,100,534
6,Charizard,리자몽,Mega Charizard X,Mega_X,Fire,Dragon,1,FALSE,87.5,12.5,20,Monster,Dragon,45,MediumSlow,Ordinary,78,130,111,130,85,100,634
6,Charizard,리자몽,Mega Charizard Y,Mega_Y,Fire,Flying,1,FALSE,87.5,12.5,20,Monster,Dragon,45,MediumSlow,Ordinary,78,104,78,159,115,100,634
7,Squirtle,꼬부기,Squirtle,Default,Water,None,1,FALSE,87.5,12.5,20,Monster,Water1,45,MediumSlow,Ordinary,44,48,65,50,64,43,314
8,Wartortle,어니부기,Wartortle,Default,Water,None,1,FALSE,87.5,12.5,20,Monster,Water1,45,MediumSlow,Ordinary,59,63,80,65,80,58,405
9,Blastoise,거북왕,Blastoise,Default,Water,None,1,FALSE,87.5,12.5,20,Monster,Water1,45,MediumSlow,Ordinary,79,83,100,85,105,78,530
9,Blastoise,거북왕,Mega Blastoise,Mega,Water,None,1,FALSE,87.5,12.5,20,Monster,Water1,45,MediumSlow,Ordinary,79,103,120,135,115,78,630
10,Caterpie,캐터피,Caterpie,Default,Bug,None,1,FALSE,50,50,15,Bug,,255,MediumFast,Ordinary,45,30,35,20,20,45,195
11,Metapod,단데기,Metapod,Default,Bug,None,1,FALSE,50,50,15,Bug,,120,MediumFast,Ordinary,50,20,55,25,25,30,205
12,Butterfree,버터플,Butterfree,Default,Bug,Flying,1,FALSE,50,50,15,Bug,,45,MediumFast,Ordinary,60,45,50,90,80,70,395
13,Weedle,뿔충이,Weedle,Default,Bug,Poison,1,FALSE,50,50,15,Bug,,255,MediumFast,Ordinary,40,35,30,20,20,50,195
14,Kakuna,딱충이,Kakuna,Default,Bug,Poison,1,FALSE,50,50,15,Bug,,120,MediumFast,Ordinary,45,25,50,25,25,35,205
15,Beedrill,독침붕,Beedrill,Default,Bug,Poison,1,FALSE,50,50,15,Bug,,45,MediumFast,Ordinary,65,90,40,45,80,75,395
15,Beedrill,독침붕,Mega Beedrill,Mega,Bug,Poison,1,FALSE,50,50,15,Bug,,45,MediumFast,Ordinary,65,150,40,15,80,145,495
16,Pidgey,구구,Pidgey,Default,Normal,Flying,1,FALSE,50,50,15,Flying,,255,MediumSlow,Ordinary,40,45,40,35,35,56,251
17,Pidgeotto,피죤,Pidgeotto,Default,Normal,Flying,1,FALSE,50,50,15,Flying,,120,MediumSlow,Ordinary,63,60,55,50,50,71,349
